Kim Jong-Un	North Korea, Executive Executive Office Government Major Party (In Government) Parties Elite (National) Major Party Government
Mohammad Pakpur	Iran, Military Intelligence Army Army Special Forces Military Government
Protester (Albania)	Dissident Protestors / Popular Opposition / Mobs
Peacekeeping Troop (Pakistan)	Military Government
Senate (Somalia)	Legislative / Parliamentary Upper House Government
Government Official (Somalia)	Government
Other Authorities / Officials (Hong Kong)	Government
Northern Cape Police	South Africa, Provincial Divisions Police Government
Women (Uganda)	General Population / Civilian / Social Social
Isaac Herzog	Israel, Executive Unicameral Women / Children / Social / Welfare / Development / Religion Ministry Legislative / Parliamentary Cabinet Protestors / Popular Opposition / Mobs Dissident Tourism Ministry Government Housing / Construction Ministry
Party President (Czech Republic)	Regional Diplomatic IGOs International Government Organization Parties Regional
Bohuslav Sobotka	Czech Republic, Executive Regional Executive Office Finance / Economy / Commerce / Trade Ministry Lower House Regional Diplomatic IGOs Parties Legislative / Parliamentary International Government Organization Elite Ideological Center Left (National) Major Party Government
Activist (Italy)	Human Rights NGOs Nongovernmental Organizations / Activists Nongovernmental Organization (International) Human Rights IGOs
Foreign Affairs (Sri Lanka)	Executive Foreign Ministry Government
Susumu Inamine	Japan, Municipal Government Local
L.K. Advani	India, Parties Elite (National) Major Party Government Opposition Major Party (Out Of Government)
Women / Children / Social / Welfare / Development / Religion Ministry (Ukraine)	Executive Government Women / Children / Social / Welfare / Development / Religion Ministry
Women / Children / Social / Welfare / Development / Religion Ministry (Switzerland)	Executive Government Women / Children / Social / Welfare / Development / Religion Ministry
Combatant (Mali)	Unidentified Forces
Opposition Supporter (Albania)	Dissident Protestors / Popular Opposition / Mobs
Insurgent (Somalia)	Dissident Rebel
Gilbert Houngbo	Togo, Executive Office Executive Elite Government
Civic Group (Gabon)	Nongovernmental Organizations / Activists Nongovernmental Organization (International)
Member of the Judiciary (Cote d'Ivoire)	Judicial Government
Pro Independence Activist (Hong Kong)	Dissident Separatists
Sahrawi Arab Democratic Republic	Western Sahara, Dissident Separatists
Legislature (Hong Kong)	Legislative / Parliamentary Government
Detainee (Indonesia)	Dissident Protestors / Popular Opposition / Mobs
Director General (Indonesia)	Government
Pekka Haavisto	Finland, Executive Government Unicameral Legislative / Parliamentary Foreign Ministry
Sex Trade (France)	Regional Criminals / Gangs Regional Diplomatic IGOs International Government Organization Dissident
Lawyer/Attorney (Iraq)	Legal Social
Bank (Afghanistan)	Business Social
Foreign Affairs (Colombia)	Executive Foreign Ministry Government
Other Authorities / Officials (Vietnam)	Government
Vietnam Fatherland Front	Vietnam, Government
Foreign Affairs (Laos)	Executive Foreign Ministry Government
Militant (Mali)	Unidentified Forces
Turkish Coast Guard	Turkey, Interior / Home Ministry Executive Coast Guard Military Government
Reserve Personnel (Turkey)	Military Government
Kuan Chung-ming	Taiwan, Executive Finance / Economy / Commerce / Trade Ministry Government Major Party (In Government) Center Right Parties Ideological (National) Major Party Government
Information / Communication / Transparency Ministry (Saudi Arabia)	Executive Information / Communication / Transparency Ministry Government
Protester (Yemen)	Dissident Protestors / Popular Opposition / Mobs
Turkish Navy	Turkey, Navy Military Government
Member of Parliament (Romania)	Legislative / Parliamentary Government
Belen Fernandez	Philippines, Municipal Government Local
Walid Muallem	Syria, Executive Government Executive Office Elite Foreign Ministry
David Parker	New Zealand, Executive Justice / Law Ministry Elite Government
Starbucks	Multi-National Corporations, Social Business Multinational Corporation Consumer Goods Business
Business (Peru)	Business Social
Francois Molins	France, Legal Social
Opposition Coalition (Malaysia)	Dissident Protestors / Popular Opposition / Mobs
Media Personnel (Portugal)	Regional Regional Diplomatic IGOs International Government Organization Social Media
Matteo Renzi	Italy, Executive Executive Office Parties Local Municipal Elite Ideological Center Left (National) Major Party Government
Social Democratic Party (Japan)	Parties
Liberal Party (Japan)	Parties
Constitutional Democratic Party (Japan)	Parties
People Associated with the Opposition (Afghanistan)	Dissident Protestors / Popular Opposition / Mobs
Stephen Harper	Canada, Executive Executive Office Lower House Center Right Parties Legislative / Parliamentary Elite Ideological (National) Major Party Government
Universidade de São Paulo	Brazil, Education Social
Party Member (Bulgaria)	Parties
Abdusamad Gamidov	Russian Federation, Provincial Elite Government Local
Rights Activist (Algeria)	Human Rights NGOs Nongovernmental Organizations / Activists Nongovernmental Organization (International) Human Rights IGOs
Reserve Personnel (Algeria)	Military Government
Media (Egypt)	Social Media
Pro Democracy Group (Hong Kong)	Dissident Protestors / Popular Opposition / Mobs
Envoy (Japan)	Executive Foreign Ministry Government
Sheikh Khalifa ibn Zaid al Nahayan	United Arab Emirates, Executive Office Executive Elite Government
Head of Government (United Arab Emirates)	Executive Office Executive Government
Criminal (Cambodia)	Criminals / Gangs Dissident
Court Judge (Somalia)	Judicial Government
Hussein Hajj Hassan	Lebanon, Organized Violent Far Left International Religious Shia Parties National Religious Ideological (National) Minor Party Dissident Social
Extremist (Mali)	Dissident Radicals / Extremists / Fundamentalists
B.N. Singh	India, Elite Government
Mohammed Masoom Stanekzai	Afghanistan, Executive Government Defense / Security Ministry Social Education
Indigenous People (United Kingdom)	Regional Regional Diplomatic IGOs General Population / Civilian / Social International Government Organization Social
Professor (Thailand)	Education Social
House of Lords	United Kingdom, Upper House Regional Regional Diplomatic IGOs Legislative / Parliamentary International Government Organization Government
Air Self-Defence Force	Japan, Air Force Military Government
Armed Band (Zimbabwe)	Unidentified Forces
Election Commission (Mozambique)	Executive Elections Ministry Government
Party Member (Mozambique)	Parties
Greg Abbott	United States, Judicial Provincial Government Local
Student (Costa Rica)	Education Social
Foreign Affairs (Costa Rica)	Executive Foreign Ministry Government
New Party (South Korea)	Parties
Member of Legislative (Govt) (Poland)	Legislative / Parliamentary Government
Mark McGowan	Australia, Dissident Protestors / Popular Opposition / Mobs
Military Academy (Afghanistan)	Social Military Education Government
Party President (Canada)	Parties
Armed Force (India)	Unidentified Forces
Detainee (Argentina)	Dissident Protestors / Popular Opposition / Mobs
Communist Party (Cyprus)	Communist Parties Ideological
David Mabuza	South Africa, Executive Far Left Executive Office Lower House Government Major Party (In Government) Parties Local Legislative / Parliamentary Provincial Ideological (National) Major Party Government
Intelligence Chief (Afghanistan)	Intelligence Ministry Executive Government
Christian Bible Church of the Philippines	Philippines, National Religious International Religious Social Protestant
Professor (North Korea)	Education Social
Gates Foundation	Non-Governmental Organizations, Development IGOs Medical / Health IGOs Charity IGOs Nongovernmental Organization (International)
Health Ministry (Nigeria)	Executive Government Health Ministry
Nurse (Nigeria)	Nongovernmental Organizations / Activists Medical / Health NGOs
Drug Gang (Colombia)	Criminals / Gangs Dissident
Janis Duklavs	Latvia, Executive Unicameral Agriculture / Fishing / Forestry Ministry Legislative / Parliamentary Cabinet Government
Nigerian Navy	Nigeria, Navy Military Government
Union of Judges in Bulgaria	Bulgaria, Legal Social
Information / Communication / Transparency Ministry (Russia)	Executive Information / Communication / Transparency Ministry Government
Bank of China	China, State-Owned Consulting / Financial Services State-Owned Enterprises Government
Mohammed Qasim Fahim	Afghanistan, Executive Executive Office International Religious Parties Muslim (National) Major Party Government
Independent Electoral Commission (Somalia)	Government
Protester (Kenya)	Dissident Protestors / Popular Opposition / Mobs
Pol Pot	Cambodia, Dissident Insurgents Elite
Government (Guyana)	Government
Separatist (China)	Dissident Separatists
Extremist (China)	Dissident Radicals / Extremists / Fundamentalists
Citizen (Kyrgyzstan)	General Population / Civilian / Social Social
Justice Department/Ministery (Finland)	Regional Regional Diplomatic IGOs Judicial International Government Organization Government
Baljinder Singh	India, Dissident Separatists International Religious Sikh
Party President (Egypt)	Parties
Public Prosecutor (Greece)	Judicial Government
Refugee (Hungary)	Refugees / Displaced Social
Indigenous People (Azerbaijan)	General Population / Civilian / Social Social
Environment Department/Ministry (Canada)	Executive Environment Ministry Government
Mohamed Taha Siala	Libya, Executive Foreign Ministry Government
Combatant (European Union)	Regional Diplomatic IGOs International Government Organization Regional
Armed Separatist (Yemen)	Dissident Separatists
Alex Ifeanyichukwu Ekwueme	Nigeria, Executive Regional Executive Office Regional Economic/Financial/Trade IGOs International Government Organization Elite Government
Women (Spain)	General Population / Civilian / Social Social
Viorel Stefan	Romania, Finance / Economy / Commerce / Trade Ministry Executive Government
Media (Bangladesh)	Social Media
Party Member (Hong Kong)	Parties
Opposition Supporter (Maldives)	Dissident Protestors / Popular Opposition / Mobs
Member of the Judiciary (Maldives)	Judicial Government
Maldivian Democratic Party	Maldives, (National) Major Party Parties
Military (Maldives)	Military Government
Defector (Nigeria)	Dissident Exiles
Ministry of Tourism (Malaysia)	Tourism Ministry Executive Government
Inonge Wina	Zambia, Executive Executive Office Women / Children / Social / Welfare / Development / Religion Ministry Parties Cabinet Ideological Center Left (National) Major Party Government
Farm Worker (United States)	Agricultural Social
Member of Legislative (Govt) (Finland)	Legislative / Parliamentary Government
Legislature (Namibia)	Legislative / Parliamentary Government
Economist (Brazil)	Education Social
Government Affiliated Bank (Brazil)	Finance / Economy / Commerce / Trade Ministry Executive Government
Lawyer/Attorney (Bulgaria)	Legal Social
Guy Ryder	International, Global International Government Organization Global Human Rights IGOs Global Diplomatic IGOs
Hong Joon-pyo	South Korea, Provincial Government Local
Thief (United Kingdom)	Regional Criminals / Gangs Regional Diplomatic IGOs International Government Organization Dissident
Other Authorities / Officials (Bahrain)	Government
Andrés Zaldívar	Chile, Interior / Home Ministry Executive Upper House Parties Legislative / Parliamentary Cabinet Ideological Centrist (National) Major Party Government
Janis Reirs	Latvia, Finance / Economy / Commerce / Trade Ministry Executive Government
Employee (Palestinian Territory, Occupied)	Labor Social
Student (Chad)	Education Social
Andrew Colvin	Austria, National / Border Divisions Police Government
Defense / Security Ministry (Norway)	Defense / Security Ministry Executive Government
Party Member (Colombia)	Parties
Medical Association (Turkey)	Nongovernmental Organizations / Activists Medical / Health NGOs
Kwame Nkrumah	Ghana, Executive Office Executive Government
Customs Official (Indonesia)	Government
Okezie Victor Ikpeazu	Nigeria, Provincial Government Local
Intelligence Officer (United States)	Intelligence Ministry Executive Government
Hemant Soren	India, Provincial Government Local
Indigenous People (Tajikistan)	General Population / Civilian / Social Social
Student (Tajikistan)	Education Social
City Mayor (Cameroon)	Municipal Government Local
Lawyer/Attorney (Cameroon)	Legal Social
Tero Varjoranta	International, Global Global Energy IGOs International Government Organization Global Diplomatic IGOs
Yuval Steinitz	Israel, Executive Jews Finance / Economy / Commerce / Trade Ministry Unicameral Center Right International Ethnic Parties Legislative / Parliamentary Cabinet Ideological (National) Major Party Government
Royal Court (Jordan)	Judicial Government
Separatist (United Arab Emirates)	Dissident Separatists
Combatant (United Arab Emirates)	Unidentified Forces
Scientist (South Africa)	Education Social
Activist (Liberia)	Human Rights NGOs Nongovernmental Organizations / Activists Nongovernmental Organization (International) Human Rights IGOs
Justice Department/Ministery (Liberia)	Judicial Government
Military Personnel (Russia)	Military Government
Party Member (Sweden)	Regional Diplomatic IGOs International Government Organization Parties Regional
Company - Owner or Operator (Sweden)	Business Regional Regional Diplomatic IGOs International Government Organization Social
Businessperson (Sweden)	Business Social
Carl XVI Gustaf	Sweden, Regional Regional Diplomatic IGOs International Government Organization Elite Government
National Democratic Front (India)	Parties
Armed Rebel (Taliban)	Sunni International Religious Ideological Dissident Insurgents Fundamentalist
Militant (Yemen)	Unidentified Forces
United States Intelligence Community	United States, Intelligence Ministry Executive Government
Government Affiliated Bank (Japan)	Finance / Economy / Commerce / Trade Ministry Executive Government
Chris Patten	United Kingdom, Executive Government Regional Regional Diplomatic IGOs Local Legislative / Parliamentary Provincial International Government Organization Elite Social Education Media
Director General (Cameroon)	Government
Company - Owner or Operator (Mauritius)	Business Social
Domestic Affairs (Mauritius)	Interior / Home Ministry Executive Government
Business (Mauritius)	Business Social
Treasury/Finance Ministry (Angola)	Finance / Economy / Commerce / Trade Ministry Executive Government
Archer Mangueira	Angola, Finance / Economy / Commerce / Trade Ministry Executive Government
Head of Government (Angola)	Executive Office Executive Government
Alastair Macdonald	International, Executive Government Regional Regional Diplomatic IGOs International Government Organization Foreign Ministry
Medical Personnel (United Kingdom)	Medical / Health NGOs Regional Regional Diplomatic IGOs Nongovernmental Organizations / Activists International Government Organization
Armed Gang (Burkina Faso)	Unidentified Forces
Police (Burkina Faso)	Police Government
Murderer (Canada)	Criminals / Gangs Dissident
Constitution Committee	United Kingdom, Executive Upper House Regional Regional Diplomatic IGOs Legislative / Parliamentary International Government Organization Justice / Law Ministry Government
Company - Owner or Operator (Kenya)	Business Social
Foreign Affairs (Cape Verde)	Executive Foreign Ministry Government
Business (Mozambique)	Business Social
Attorney General (Mozambique)	Judicial Government
Lawmaker (Romania)	Legislative / Parliamentary Government
Court of Cassation	Greece, National / Supreme Court Judicial Government
District Commissioner (Somalia)	Provincial Government Local
Rebel Group (National Liberation Army)	Dissident Ideological Insurgents Far Left
Royal Administration (Australia)	Government
Amal Movement	Lebanon, International Religious Center Right Parties Shia Ideological (National) Minor Party
Media (Kenya)	Social Media
Githu Muigai	Kenya, Judicial Government
Political Parties (Nepal)	Parties
Local Media (Nepal)	Social Media
Indigenous People (Greece)	General Population / Civilian / Social Social
Protester (Senegal)	Dissident Protestors / Popular Opposition / Mobs
Government Official (United Kingdom)	Regional Diplomatic IGOs International Government Organization Government Regional
Government Official (Uzbekistan)	Government
Separatist Leader (Cameroon)	Dissident Separatists
Representatives (Belarus)	Legislative / Parliamentary Government
Jan Petersen	Norway, Executive Government Unicameral Center Right Parties Legislative / Parliamentary Cabinet Ideological (National) Major Party Foreign Ministry
Fred Matiang'i	Kenya, Interior / Home Ministry Executive Government Education Ministry
Lawmaker (Georgia)	Legislative / Parliamentary Government
Congress (El Salvador)	Legislative / Parliamentary Government
Alexander Kadakin	Russian Federation, Executive Foreign Ministry Government
Tesla Motors	Multi-National Corporations, Durable Goods Business Business Social Multinational Corporation
Guerilla Faction (Colombia)	Dissident Rebel
Wiranto	Indonesia, Military Government
Combatant (Lebanon)	Unidentified Forces
Public Prosecutor (Turkey)	Judicial Government
Businessperson (Lebanon)	Business Social
Rebel Group (Colombia)	Dissident Rebel
Activist (Communist Party of India)	Communist Parties Ideological (National) Major Party Opposition Major Party (Out Of Government)
Rajiv Pratap Rudy	India, (National) Major Party Parties Opposition Major Party (Out Of Government)
Democratic Party (India)	Parties
Derek O'Brien	India, Legislative / Parliamentary Government
Criminal (Paraguay)	Criminals / Gangs Dissident
La Prensa Gráfica	El Salvador, News Print News Social Media
Ibrahim al-Jaafari	Iraq, Executive Government Executive Office International Religious Center Right Parties Shia Ideological (National) Minor Party (National) Major Party Foreign Ministry Fundamentalist
Governor (United Kingdom)	Regional Regional Diplomatic IGOs Local Provincial International Government Organization Government
Education (Czech Republic)	Regional Regional Diplomatic IGOs International Government Organization Social Education
Director General (Czech Republic)	Regional Diplomatic IGOs International Government Organization Government Regional
ČEZ Group	Czech Republic, Utilities Business Heavy Industrial / Chemical Business Business Social
Court Judge (El Salvador)	Judicial Government
Mathias Cormann	Australia, Upper House Executive Finance / Economy / Commerce / Trade Ministry Legislative / Parliamentary Government
Zorana Mihajlovic	Serbia, Executive Office Energy Ministry Executive Government
Congress (Russia)	Legislative / Parliamentary Government
Lal Singh	India, Dissident Separatists International Religious Sikh
Takeo Mori	Japan, Executive Foreign Ministry Government
Regulator (China)	Government
Border Patrol (United States)	Police Government
Willem-Alexander	Netherlands, Elite Government
Tourist (United States)	General Population / Civilian / Social Social
Aftab Ahmed	International Militarized Groups, Muslim International Religious
Hazem Salah Abu Ismail	Egypt, International Religious National Religious Coptic Social Religious Minority Legal
Pilgrim (India)	National Religious Social
Jugal Kishore Sharma	India, (National) Major Party Parties Opposition Major Party (Out Of Government)
Irakli Ghudushauri-Shiolashvili	Georgia, National Religious International Religious Social Catholic
Malaysian Anti-Corruption Commission	Malaysia, Police Government
Public Prosecutor (Malaysia)	Judicial Government
Student (Malaysia)	Education Social
Yale University	United States, Education Social
Ferdinand Marcos, Jr.	Philippines, Upper House Center Right Parties Legislative / Parliamentary Elite Ideological (National) Minor Party Government
Government Official (Italy)	Government
Main Opposition (Maldives)	Dissident Protestors / Popular Opposition / Mobs
Yoav Mordechai	Israel, Military Government
Carlos Alvarado	Costa Rica, Executive Office Executive Elite Government
Police (Cuba)	Police Government
Criminal (Cuba)	Criminals / Gangs Dissident
Protester (Niger)	Dissident Protestors / Popular Opposition / Mobs
Tyrant (Egypt)	Executive Office Executive Government
Armed Rebel (Burundi)	Dissident Rebel
People Associated with the Opposition (Burkina Faso)	Dissident Protestors / Popular Opposition / Mobs
Labor Union (Burkina Faso)	Labor Social
Asylum Seeker (Congo)	Refugees / Displaced Social
Smail Chergui	International, Regional Diplomatic IGOs International Government Organization Regional
Men (Burkina Faso)	General Population / Civilian / Social Social
Democratic Party (Cote d'Ivoire)	Parties
Defense / Security Ministry (Yemen)	Defense / Security Ministry Executive Government
Population (Mali)	General Population / Civilian / Social Social
Election Commission (United Arab Emirates)	Executive Elections Ministry Government
Party Member (United Arab Emirates)	Parties
Ahn Cheol Soo	South Korea, Legislative / Parliamentary Unicameral Government
Industrial / Textiles / Mining Ministry (Thailand)	Industrial / Textiles / Mining Ministry Executive Government
Ba'ath Party	Iraq, Dissident Banned Parties Ideological Nationalist
Population (Brazil)	General Population / Civilian / Social Social
Fighter Bomber (Russia)	Military Government
Georgetown University	United States, Education Social
Professor (Guyana)	Education Social
Su Tseng Chang	Taiwan, Executive Nationalist Executive Office Government Major Party (In Government) Parties Elite Ideological Center Left (National) Major Party Government Opposition Major Party (Out Of Government)
Freedom Fighter (Nigeria)	Dissident Rebel
Action for Change	Mauritania, Parties (National) Minor Party
Main Opposition (Nigeria)	Dissident Protestors / Popular Opposition / Mobs
Ibrahim Hassan Dankwambo	Nigeria, Parties Local Provincial Ideological Centrist (National) Major Party Government
Medical Personnel (Georgia)	Nongovernmental Organizations / Activists Medical / Health NGOs
Fighter Bomber (Nigeria)	Military Government
Attack Craft (Saudi Arabia)	Military Government
The Poor (Afghanistan)	General Population / Civilian / Social Social
Reserve Personnel (Mauritania)	Military Government
Fishermen (Senegal)	Agricultural Social
Civil Servant (Nigeria)	Government
Newspaper (Italy)	Social Media
Labor Union (Syria)	Labor Social
Islamic Militant (Yemen)	Dissident Muslim International Religious Rebel
Extremist (Islamic State of Iraq and the Levant)	Sunni International Religious Muslim Ideological Dissident Insurgents Fundamentalist
Militant (National Liberation Army)	Dissident Ideological Insurgents Far Left
Nigeria Customs Service	Nigeria, Finance / Economy / Commerce / Trade Ministry Executive Government
Treasury/Finance Ministry (Namibia)	Finance / Economy / Commerce / Trade Ministry Executive Government
Citizen (Brunei)	General Population / Civilian / Social Social
Government (Brunei)	Government
Wang Qishan	China, Executive Executive Office Government Major Party (In Government) Parties Local Municipal (National) Major Party Government
Citizen (Middle East)	General Population / Civilian / Social Social
Atupele Muluzi	Malawi, Industrial / Textiles / Mining Ministry Executive Interior / Home Ministry Far Left Defense / Security Ministry Energy Ministry Parties Legislative / Parliamentary Ideological (National) Minor Party Environment Ministry Government
Farm Worker (Russia)	Agricultural Social
Company - Owner or Operator (Georgia)	Business Social
Criminal (Congo)	Criminals / Gangs Dissident
Men (Congo)	General Population / Civilian / Social Social
People Associated with the Opposition (Sudan)	Dissident Protestors / Popular Opposition / Mobs
Cabinet / Council of Ministers / Advisors (Brunei)	Executive Cabinet Government
Healthcare Facility (South Korea)	Medical / Health Social
Protester (Thailand)	Dissident Protestors / Popular Opposition / Mobs
National Congress Party	Sudan, International Religious Parties Muslim Ideological Far Right (National) Major Party Fundamentalist
Achim Steiner	International, Global International Government Organization Global Diplomatic IGOs
Opposition Supporter (Kenya)	Dissident Protestors / Popular Opposition / Mobs
Cleric (Afghanistan)	National Religious Social
Blogger (Tunisia)	Social Media
Peacekeeping Troop (Djibouti)	Military Government
Vincent T. Seretse	Botswana, Executive Foreign Ministry Government
Ministry (Botswana)	Government
Lawmaker (Myanmar)	Legislative / Parliamentary Government
Defense Attorney (North Korea)	Judicial Government
Rights Activist (Indonesia)	Human Rights NGOs Nongovernmental Organizations / Activists Nongovernmental Organization (International) Human Rights IGOs
Libération	France, Far Left Regional Regional Diplomatic IGOs News International Government Organization Ideological Social Print News Media
Business (Sudan)	Business Social
Political Parties (Sudan)	Parties
Medical Personnel (South Korea)	Nongovernmental Organizations / Activists Medical / Health NGOs
Head of Government (Tajikistan)	Executive Office Executive Government
Bank (Tajikistan)	Business Social
Military Personnel (Benin)	Military Government
Lawyer/Attorney (Malawi)	Legal Social
Corina Creţu	Romania, Executive Upper House Regional Defense / Security IGOs Regional Regional Diplomatic IGOs State Media Information / Communication / Transparency Ministry Parties Legislative / Parliamentary International Government Organization Ideological Center Left (National) Major Party Government
Main Opposition (Northern League)	Parties Secular Ideological (National) Minor Party
Democratic Party (Italy)	Parties
China Eastern Airlines	Multi-National Corporations, Transportation Business Business Social Multinational Corporation
Kenya Television Network	Kenya, Entertainment News Media Television News Social Television Entertainment
Foroyaa	Gambia, News Print News Social Media
Women / Children / Social / Welfare / Development / Religion Ministry (Somalia)	Executive Government Women / Children / Social / Welfare / Development / Religion Ministry
Grace Poe	Philippines, Legislative / Parliamentary Upper House Government
Blogger (Philippines)	Social Media
Fabian Picardo	Gibraltar, Executive Executive Office Parties Elite Ideological (National) Minor Party Center Left Government
Pavlo Petrenko	Ukraine, Judicial Government
Hürriyet Daily News	Turkey, Online News News Social Print News Media
Anatoly Antonov	Russian Federation, Defense / Security Ministry Executive Government
Frans Kapofi	Namibia, Executive Office Interior / Home Ministry Executive Government
Nickey Iyambo	Namibia, Executive Executive Office Lower House Agriculture / Fishing / Forestry Ministry Women / Children / Social / Welfare / Development / Religion Ministry Parties Legislative / Parliamentary Cabinet Ideological Center Left (National) Major Party Government
Constitutional Court (Bulgaria)	Judicial Government
House Speaker (Russia)	Legislative / Parliamentary Government
Men (Brazil)	General Population / Civilian / Social Social
Rights Activist (Germany)	Human Rights NGOs Nongovernmental Organizations / Activists Nongovernmental Organization (International) Human Rights IGOs
Men (Turkey)	General Population / Civilian / Social Social
Presidential Press Service (Russia)	Executive Office Executive Government
Mehdi Karrubi	Iran, Executive Nationalist Parties Protestors / Popular Opposition / Mobs Ideological (National) Minor Party Dissident Centrist (National) Major Party Government
Ministry (Ghana)	Government
Governor (Somalia)	Provincial Government Local
Oversight Court (Spain)	Judicial Government
Banco Popular	Puerto Rico, Consulting / Financial Services Business Consumer Services Business Business Social
Bishop (Malta)	National Religious Social
Kalonzo Musyoka	Kenya, Interior / Home Ministry Education NGOs National Ethnic Bantu Bantu, Gikuyu-Kamba International Ethnic Parties (National) Major Party Unicameral Cabinet Nongovernmental Organizations / Activists Industrial / Textiles / Mining Ministry Executive Executive Office Legislative / Parliamentary Ideological Social Center Left Environment Ministry Government
Women / Children / Social / Welfare / Development / Religion Ministry (Brazil)	Executive Government Women / Children / Social / Welfare / Development / Religion Ministry
Sergey Yevgenyevich Naryshkin	Russian Federation, Executive Executive Office State Media Information / Communication / Transparency Ministry Legislative / Parliamentary Government
Women (Egypt)	General Population / Civilian / Social Social
Ha Kim Ngoc	Vietnam, Executive Foreign Ministry Government
Member of the Judiciary (Cambodia)	Judicial Government
Secret Agent (Australia)	Military Intelligence Military Government
Military (Lithuania)	Military Government
Legislature (Slovenia)	Regional Regional Diplomatic IGOs Legislative / Parliamentary International Government Organization Government
Customs Official (Germany)	Regional Diplomatic IGOs International Government Organization Government Regional
Crime Intelligence	South Africa, Executive National / Border Divisions Police Intelligence Ministry Government
Immigrants (Somalia)	General Population / Civilian / Social Social
Protester (Spain)	Dissident Protestors / Popular Opposition / Mobs
Croatian People's Party – Liberal Democrats	Croatia, Center Left Parties Ideological (National) Minor Party
Yahya Ould Hademine	Mauritania, Executive Executive Office Parties State-Owned Enterprises (National) Major Party State-Owned Heavy Industrial / Chemical Government State-Owned Transportation
City Mayor (Liberia)	Municipal Government Local
Cory Gardner	United States, Legislative / Parliamentary Upper House Government Parties
Joint Chiefs of Staff (North Korea)	Military Government
Population (Poland)	General Population / Civilian / Social Social
Baleka Mbete	South Africa, Executive Far Left Executive Office Lower House Government Major Party (In Government) Parties Legislative / Parliamentary Ideological (National) Major Party Government
Military Personnel - Special (South Africa)	Military Government
Nosiviwe Mapisa-Nqakula	South Africa, Interior / Home Ministry Executive Justice / Law Ministry Far Left Defense / Security Ministry Government Major Party (In Government) Parties Cabinet Ideological (National) Major Party Government
Education Ministry (South Sudan)	Executive Government Education Ministry
Company - Owner or Operator (South Sudan)	Business Social
International Parliament	International Government Organizations, Global International Government Organization Global Diplomatic IGOs
Assemblies (Azerbaijan)	Legislative / Parliamentary Government
AMRC	Multi-National Corporations, Nongovernmental Organizations / Activists Multinational Corporation Business NGOs
Vladimir Vladimirov	Russian Federation, Provincial Government Local
Integrity Commission	Trinidad and Tobago, Government
Sabah Khaled Al-Hamad Al-Sabah	Kuwait, Executive Office Executive Foreign Ministry Government
Refugee (South Sudan)	Refugees / Displaced Social
Immigrants (South Sudan)	General Population / Civilian / Social Social
Calin Popescu-Tariceanu	Romania, Executive Government Executive Office Center Right Parties Cabinet Elite Ideological (National) Major Party Foreign Ministry
Government Affiliated Bank (United Kingdom)	Executive Regional Finance / Economy / Commerce / Trade Ministry Regional Diplomatic IGOs International Government Organization Government
Russian Air Force	Russian Federation, Air Force Military Government
Separatist Militant (Yemen)	Dissident Separatists
Energy Department/Ministry (Russia)	Energy Ministry Executive Government
Greg Hunt	Australia, Executive Environment Ministry Government
Media Personnel (Saudi Arabia)	Social Media
Valdis Dombrovskis	Latvia, Executive Regional Executive Office Regional Diplomatic IGOs Center Right Parties International Government Organization Elite Ideological (National) Minor Party Government
Professor (Ethiopia)	Education Social
Armed Rebel (Congo)	Dissident Rebel
Ahmad Jarba	Syria, Dissident Protestors / Popular Opposition / Mobs
Joseph Zen	Hong Kong, Christian International Religious Nongovernmental Organizations / Activists Human Rights NGOs
Expatriate (Saudi Arabia)	Refugees / Displaced Social
Foreign Affairs (Dominican Republic)	Executive Foreign Ministry Government
Fire Brigade (United Kingdom)	Regional Diplomatic IGOs International Government Organization Government Regional
Company - Owner or Operator (Italy)	Business Social
Other Authorities / Officials (Paraguay)	Government
News Editor (Bangladesh)	Social Media
Police (Kyrgyzstan)	Police Government
Men (Kyrgyzstan)	General Population / Civilian / Social Social
Ministry (Sweden)	Regional Diplomatic IGOs International Government Organization Government Regional
Legislature (Ireland)	Legislative / Parliamentary Government
Xiao Jie	China, Executive Office Finance / Economy / Commerce / Trade Ministry Executive Government
Paddy Ashdown	United Kingdom, Executive Upper House Government Far Left Regional Regional Diplomatic IGOs Parties Legislative / Parliamentary International Government Organization Elite Ideological (National) Major Party Foreign Ministry
Men (Costa Rica)	General Population / Civilian / Social Social
Constitutional Court (Romania)	Judicial Government
Military (Dominican Republic)	Military Government
Infosys	Multi-National Corporations, Science / Tech / Knowledge / Innovation Business Business Social Multinational Corporation
Public Courts (United Kingdom)	Regional Regional Diplomatic IGOs Judicial International Government Organization Government
Muslim (Pakistan)	National Religious Muslim International Religious Social
Thammasat University	Thailand, Education Social
Customs Official (Russia)	Government
Political Parties (Australia)	Parties
Brian Mulroney	Canada, Elite
Senate Foreign Relations Committee	United States, Legislative / Parliamentary Upper House Government
Election Commission (Czech Republic)	Executive Elections Ministry Government
Masaryk University	Czech Republic, Education Social
Political Parties (Peru)	Parties
Immigrants (Myanmar)	General Population / Civilian / Social Social
Domingos Simões Pereira	Guinea-Bissau, Executive Nationalist Executive Office Parties Elite Ideological (National) Major Party Government
Kim Yong Nam	North Korea, Legislative / Parliamentary Government
Penny Wong	Australia, Finance / Economy / Commerce / Trade Ministry Executive Elite Government
Police (El Salvador)	Police Government
Dinesh Singh	India, Elite
Melania Trump	United States, Elite
Student (Australia)	Education Social
